case_id,split,target_label,days_since_min_train_date,text_token_count,product__becas,product__horarios,product__matricula,product__pagos,product__practicas,product__titulos,channel__chat,channel__email,channel__portal,tfidf__consulta,tfidf__beca,tfidf__matricula,tfidf__plazo,tfidf__cambio,tfidf__convenio,tfidf__duda,tfidf__incompleta,tfidf__ordinaria,tfidf__practicas,tfidf__requisitos,tfidf__ambiguo,tfidf__anulacion,tfidf__caso,tfidf__cerrado,tfidf__datos,tfidf__denegada,tfidf__documentacion,tfidf__duplicado,tfidf__emitido,tfidf__empresa,tfidf__estado,tfidf__expediente,tfidf__faltan,tfidf__grupo,tfidf__horario,tfidf__horarios,tfidf__indicada,tfidf__laboratorio,tfidf__mensaje,tfidf__pago,tfidf__parcial,tfidf__reclamacion,tfidf__revisar,tfidf__revision,tfidf__solicitud,tfidf__titulo,tfidf__urgente
s011,train,answer,0.66666667,0.8,0,1,0,0,0,0,1,0,0,1.82667857,0.0,0.0,0.0,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s012,train,ask_more,0.73333333,0.8,1,0,0,0,0,0,0,0,1,0.0,1.98082925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0
s013,train,answer,0.8,0.8,0,0,1,0,0,0,0,1,0,1.82667857,0.0,2.38629436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0
s014,train,ask_more,0.86666667,0.8,1,0,0,0,0,0,0,1,0,0.0,1.98082925,0.0,0.0,0.0,0.0,2.67397643,2.67397643,0.0,0.0,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s015,train,escalate,0.93333333,0.8,1,0,0,0,0,0,1,0,0,0.0,1.98082925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,3.07944154
s016,train,ask_more,1.0,0.8,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.67397643,0.0,0.0,0.0,2.67397643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s017,validation,answer,1.06666667,0.8,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0
s018,validation,answer,1.13333333,0.8,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s019,validation,answer,1.2,0.8,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s020,validation,answer,1.26666667,0.6,0,0,1,0,0,0,0,0,1,1.82667857,0.0,2.38629436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s021,test,ask_more,1.33333333,0.6,1,0,0,0,0,0,0,1,0,0.0,1.98082925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s022,test,answer,1.4,0.6,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s023,test,escalate,1.46666667,0.8,0,0,1,0,0,0,0,1,0,0.0,0.0,2.38629436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0
s024,test,answer,1.53333333,0.8,0,1,0,0,0,0,1,0,0,1.82667857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07944154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
