scenario,case_id,metric,value,operator,threshold,status
remediated,policy_rag_with_internal_slides,missing_controls_count,0,==,0,pass
remediated,voice_appointment_agent,quality_score,0.8175,>=,0.78,pass
remediated,voice_appointment_agent,risk_score,0.06,<,0.48,pass
remediated,voice_appointment_agent,latency_ms,1700,<=,2200,pass
remediated,voice_appointment_agent,cost_units,4.6,<=,9.0,pass
remediated,voice_appointment_agent,failure_rate,0.02,<=,0.04,pass
remediated,voice_appointment_agent,missing_evidence_count,0,==,0,pass
remediated,voice_appointment_agent,missing_controls_count,0,==,0,pass
remediated,parking_video_event_triage,quality_score,0.7675,>=,0.78,review
remediated,parking_video_event_triage,risk_score,0.06,<,0.48,pass
remediated,parking_video_event_triage,latency_ms,2150,<=,2200,pass
remediated,parking_video_event_triage,cost_units,8.1,<=,9.0,pass
remediated,parking_video_event_triage,failure_rate,0.035,<=,0.04,pass
remediated,parking_video_event_triage,missing_evidence_count,1,==,0,review
remediated,parking_video_event_triage,missing_controls_count,0,==,0,pass
remediated,computer_use_claim_submission,quality_score,0.86,>=,0.78,pass
remediated,computer_use_claim_submission,risk_score,0.16,<,0.48,pass
remediated,computer_use_claim_submission,latency_ms,1750,<=,2200,pass
remediated,computer_use_claim_submission,cost_units,6.0,<=,9.0,pass
remediated,computer_use_claim_submission,failure_rate,0.018,<=,0.04,pass
remediated,computer_use_claim_submission,missing_evidence_count,0,==,0,pass
remediated,computer_use_claim_submission,missing_controls_count,0,==,0,pass
remediated,visual_search_catalog,quality_score,0.8575,>=,0.78,pass
remediated,visual_search_catalog,risk_score,0.07,<,0.48,pass
remediated,visual_search_catalog,latency_ms,1800,<=,2200,pass
remediated,visual_search_catalog,cost_units,5.4,<=,9.0,pass
remediated,visual_search_catalog,failure_rate,0.02,<=,0.04,pass
remediated,visual_search_catalog,missing_evidence_count,0,==,0,pass
remediated,visual_search_catalog,missing_controls_count,0,==,0,pass
remediated,student_multimodal_helpdesk,quality_score,0.8,>=,0.78,pass
remediated,student_multimodal_helpdesk,risk_score,0.1,<,0.48,pass
remediated,student_multimodal_helpdesk,latency_ms,2100,<=,2200,pass
remediated,student_multimodal_helpdesk,cost_units,8.6,<=,9.0,pass
remediated,student_multimodal_helpdesk,failure_rate,0.033,<=,0.04,pass
remediated,student_multimodal_helpdesk,missing_evidence_count,0,==,0,pass
remediated,student_multimodal_helpdesk,missing_controls_count,0,==,0,pass
candidate,catalog_alt_text,quality_score,0.88,>=,0.78,pass
candidate,catalog_alt_text,risk_score,0.03,<,0.48,pass
candidate,catalog_alt_text,latency_ms,850,<=,2200,pass
candidate,catalog_alt_text,cost_units,1.3,<=,9.0,pass
candidate,catalog_alt_text,failure_rate,0.01,<=,0.04,pass
candidate,catalog_alt_text,missing_evidence_count,0,==,0,pass
candidate,catalog_alt_text,missing_controls_count,0,==,0,pass
candidate,invoice_table_extraction,quality_score,0.8525,>=,0.78,pass
candidate,invoice_table_extraction,risk_score,0.06,<,0.48,pass
candidate,invoice_table_extraction,latency_ms,1650,<=,2200,pass
candidate,invoice_table_extraction,cost_units,4.3,<=,9.0,pass
candidate,invoice_table_extraction,failure_rate,0.025,<=,0.04,pass
candidate,invoice_table_extraction,missing_evidence_count,0,==,0,pass
candidate,invoice_table_extraction,missing_controls_count,0,==,0,pass
candidate,policy_rag_with_internal_slides,quality_score,0.8375,>=,0.78,pass
candidate,policy_rag_with_internal_slides,risk_score,0.07,<,0.48,pass
candidate,policy_rag_with_internal_slides,latency_ms,2000,<=,2200,pass
candidate,policy_rag_with_internal_slides,cost_units,6.7,<=,9.0,pass
candidate,policy_rag_with_internal_slides,failure_rate,0.03,<=,0.04,pass
candidate,policy_rag_with_internal_slides,missing_evidence_count,0,==,0,pass
candidate,policy_rag_with_internal_slides,missing_controls_count,0,==,0,pass
candidate,voice_appointment_agent,quality_score,0.8175,>=,0.78,pass
candidate,voice_appointment_agent,risk_score,0.06,<,0.48,pass
candidate,voice_appointment_agent,latency_ms,1700,<=,2200,pass
candidate,voice_appointment_agent,cost_units,4.6,<=,9.0,pass
candidate,voice_appointment_agent,failure_rate,0.02,<=,0.04,pass
candidate,voice_appointment_agent,missing_evidence_count,0,==,0,pass
candidate,voice_appointment_agent,missing_controls_count,0,==,0,pass
candidate,parking_video_event_triage,quality_score,0.815,>=,0.78,pass
candidate,parking_video_event_triage,risk_score,0.06,<,0.48,pass
candidate,parking_video_event_triage,latency_ms,2050,<=,2200,pass
candidate,parking_video_event_triage,cost_units,8.3,<=,9.0,pass
candidate,parking_video_event_triage,failure_rate,0.028,<=,0.04,pass
candidate,parking_video_event_triage,missing_evidence_count,0,==,0,pass
candidate,parking_video_event_triage,missing_controls_count,0,==,0,pass
candidate,computer_use_claim_submission,quality_score,0.86,>=,0.78,pass
candidate,computer_use_claim_submission,risk_score,0.16,<,0.48,pass
candidate,computer_use_claim_submission,latency_ms,1750,<=,2200,pass
candidate,computer_use_claim_submission,cost_units,6.0,<=,9.0,pass
candidate,computer_use_claim_submission,failure_rate,0.018,<=,0.04,pass
candidate,computer_use_claim_submission,missing_evidence_count,0,==,0,pass
candidate,computer_use_claim_submission,missing_controls_count,0,==,0,pass
candidate,visual_search_catalog,quality_score,0.8575,>=,0.78,pass
candidate,visual_search_catalog,risk_score,0.07,<,0.48,pass
candidate,visual_search_catalog,latency_ms,1800,<=,2200,pass
candidate,visual_search_catalog,cost_units,5.4,<=,9.0,pass
candidate,visual_search_catalog,failure_rate,0.02,<=,0.04,pass
candidate,visual_search_catalog,missing_evidence_count,0,==,0,pass
candidate,visual_search_catalog,missing_controls_count,0,==,0,pass
candidate,student_multimodal_helpdesk,quality_score,0.8,>=,0.78,pass
candidate,student_multimodal_helpdesk,risk_score,0.1,<,0.48,pass
candidate,student_multimodal_helpdesk,latency_ms,2100,<=,2200,pass
candidate,student_multimodal_helpdesk,cost_units,8.6,<=,9.0,pass
candidate,student_multimodal_helpdesk,failure_rate,0.033,<=,0.04,pass
candidate,student_multimodal_helpdesk,missing_evidence_count,0,==,0,pass
candidate,student_multimodal_helpdesk,missing_controls_count,0,==,0,pass
